Timestamp,Program,Indent,UI,Lang,OS,Browser,DE
11/29/2017 6:47:10,D,Tabs,Terminal,Scala,Linux,Firefox,NetBeans
11/29/2017 9:39:21,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
11/29/2017 9:40:01,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 9:40:30,D,Spaces,GUI,C++,Windows 10,Chrome,IntelliJ
11/29/2017 9:43:07,D,Tabs,Terminal,Scala,Linux,Chrome,Eclipse
11/29/2017 9:47:31,D,Tabs,GUI,Scala,Linux,Chrome,Eclipse
11/29/2017 9:49:05,D,Tabs,Terminal,Scala,Windows 7,Chrome,Atom
11/29/2017 9:49:40,D,Tabs,GUI,Java,Windows 10,Firefox,Eclipse
11/29/2017 9:50:27,D,Tabs,GUI,Scala,Linux,Chromium,IntelliJ
11/29/2017 9:51:19,D,Tabs,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 11:29:38,W,Tabs,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 9:53:34,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
11/29/2017 9:53:54,D,Tabs,Terminal,Scala,Linux,Chrome,Vim
11/29/2017 9:54:49,D,Tabs,GUI,C#,Windows 10,Chrome,Visual Studio
11/29/2017 10:00:31,D,Tabs,GUI,Scala,Linux,Firefox,IntelliJ
11/29/2017 10:07:05,D,Tabs,GUI,Scala,Linux,Chrome,IntelliJ
11/29/2017 10:07:23,D,Tabs,GUI,Javascript,Windows 10,Chrome,IntelliJ
11/29/2017 10:08:33,D,Tabs,GUI,Java,Linux,Chrome,IntelliJ
11/29/2017 10:14:42,D,Tabs,Terminal,Scala,macOS,Chrome,Eclipse
11/29/2017 10:18:35,D,Tabs,Terminal,Scala,Linux,Firefox,IntelliJ
11/29/2017 10:19:50,W,Tabs,Terminal,Scala,iOS,Chrome,Eclipse
11/29/2017 10:26:59,D,Tabs,GUI,Scala,macOS,Chrome,IntelliJ
11/29/2017 10:37:56,D,Tabs,Terminal,Scala,Linux,Firefox,Eclipse
11/29/2017 10:54:48,D,Tabs,Terminal,Scala,Windows 10,Chrome,IntelliJ
11/29/2017 11:06:32,D,Tabs,GUI,Scala,Windows 10,Chrome,Eclipse
11/29/2017 11:16:27,D,Tabs,GUI,Java,Windows 10,Chrome,IntelliJ
